BuildingGUID,GUID,IfcClass,Nl-sfb,Material,TaskID,Resource,TaskName,TaskStart,TaskFinish,Element on time or not
2CKEPCy9T9zQMKorZoDrni,3odIHAP2f2UOiuFMkf$itN,IfcWall,2220_binnenwanden - constructief,IFC_kalkzandsteen_214mm,ST00150,liftwand_(#29455),Stort liftwanden,10-3-2015,10-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,0eA$$I6uvA18h6OuHeQjac,IfcWall,2220_binnenwanden - constructief,IFC_kalkzandsteen_214mm,ST00150,liftwand_(#29660),Stort liftwanden,10-3-2015,10-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2GTwJrGhDAzvI7WZJUCeZE,IfcWall,2220_binnenwanden - constructief,IFC_kalkzandsteen_214mm,ST00150,liftwand_(#29901),Stort liftwanden,10-3-2015,10-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1qSygSJAf1FwTO1RCAcXhe,IfcWallStandardCase,2220_binnenwanden - constructief,IFC_kalkzandsteen_214mm,ST00150,liftwand_(#30267),Stort liftwanden,10-3-2015,10-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1KASldv$r8FgJ_cnX$UWsD,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonpoer_1600x300,ST00200,fund_poer_(#8265),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,28n152n4TDhfCgPSt939HS,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#10099),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3e$rrJY7D1Rhx1v_XSSOhd,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#10265),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2J6c62A5XD2QcGjShzZgXq,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1400x250,ST00200,fund_strook_(#10569),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,397U34bofE49REjBsbvQCB,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00200,fund_strook_(#10711),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,26byCAFGr1I8W5h9B84Q16,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1200x250,ST00200,fund_strook_(#10853),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1Asg_4IIzBJRAZjWOOBoop,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1200x250,ST00200,fund_strook_(#10984),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3J_1it95T5gfMFEztXNCUR,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1000x250,ST00200,fund_strook_(#11111),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1zQYOrUqP5TAaFPeCmMGH$,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_600x250,ST00200,fund_strook_(#11249),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,36OAgfylj3i8B$_ULHcQpS,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_600x250,ST00200,fund_strook_(#11380),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3SLFVhErbETg7vkVqhJmtW,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1000x250,ST00200,fund_strook_(#11507),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1ei90H7Bb5_fZwEyprK4wB,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1400x250,ST00200,fund_strook_(#11634),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3P7_03M9j4qfTpY82oA7qG,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00200,fund_strook_(#11761),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2wgL5LHzz2E8w8G68rTVPh,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#11927),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2F6KORhx58_911OMinsiC1,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00200,fund_strook_(#12054),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3QPQ0M3XLDPQT3whn6YFzl,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00200,fund_strook_(#12181),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3hyBmIA9vBAAbnFe7JERse,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#12347),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2vDGAiCMz1EgMACLLW94wj,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#12513),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3qqefgPMbCKOfgM2m0OEf4,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00200,fund_strook_(#12640),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2TjPlUWNf9yOVI0lQMOSNy,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00200,fund_strook_(#12767),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,29BOVlph15px1swoAw3ZkS,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00200,fund_strook_(#12894),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1rmhw$lQ96KvGwXixf1ieA,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1200x250,ST00200,fund_strook_(#13021),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2wRDzVfR9EwhluR32nQMBE,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#13187),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1uEzbhHRDA98l7q7eTPW6W,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#3776),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3eW1ejUUD8Z83etxIha2Q6,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_2600x550,ST00200,fund_strook_(#5041),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3x8FpcNtn5dhlulWMrejSh,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1000x250,ST00200,fund_strook_(#5860),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,0vDPjO0AzA2RjW5bZfipZc,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1000x250,ST00200,fund_strook_(#5991),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,0wc9xUAq1D8gPTinpIsyhl,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_900x250,ST00200,fund_strook_(#6129),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2mDRqz_0n11QrR8$KLRplg,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_2600x550,ST00200,fund_strook_(#639),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1olNo2H6j18AMsF6vNwyOJ,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#7939),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1htIOmH4b7Tf006E86T$VI,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#8937),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3mVuN59AD7ZOorZUKionH9,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#9103),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1KASldv$r8FgJ_cnX$UWsD,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonpoer_1600x300,ST00210,fund_poer_(#8265),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,28n152n4TDhfCgPSt939HS,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00210,fund_strook_(#10099),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3e$rrJY7D1Rhx1v_XSSOhd,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00210,fund_strook_(#10265),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2J6c62A5XD2QcGjShzZgXq,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1400x250,ST00210,fund_strook_(#10569),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,397U34bofE49REjBsbvQCB,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00210,fund_strook_(#10711),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,26byCAFGr1I8W5h9B84Q16,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1200x250,ST00210,fund_strook_(#10853),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1Asg_4IIzBJRAZjWOOBoop,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1200x250,ST00210,fund_strook_(#10984),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3J_1it95T5gfMFEztXNCUR,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1000x250,ST00210,fund_strook_(#11111),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1zQYOrUqP5TAaFPeCmMGH$,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_600x250,ST00210,fund_strook_(#11249),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,36OAgfylj3i8B$_ULHcQpS,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_600x250,ST00210,fund_strook_(#11380),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3SLFVhErbETg7vkVqhJmtW,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1000x250,ST00210,fund_strook_(#11507),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1ei90H7Bb5_fZwEyprK4wB,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1400x250,ST00210,fund_strook_(#11634),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3P7_03M9j4qfTpY82oA7qG,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00210,fund_strook_(#11761),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2wgL5LHzz2E8w8G68rTVPh,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00210,fund_strook_(#11927),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2F6KORhx58_911OMinsiC1,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00210,fund_strook_(#12054),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3QPQ0M3XLDPQT3whn6YFzl,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00210,fund_strook_(#12181),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3hyBmIA9vBAAbnFe7JERse,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00210,fund_strook_(#12347),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2vDGAiCMz1EgMACLLW94wj,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00210,fund_strook_(#12513),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3qqefgPMbCKOfgM2m0OEf4,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00210,fund_strook_(#12640),Wapening,19-3-2015,24-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2TjPlUWNf9yOVI0lQMOSNy,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00210,fund_strook_(#12767),Wapening,19-3-2015,24-3-2015,On time
