BuildingGUID,GUID,ifcClass,Nl-sfb,Material,Task,Resource,TaskName,TaskStart,TaskFinish
2CKEPCy9T9zQMKorZoDrni,1htIOmH4b7Tf006E86T$VI,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00210,fund_strook_(#8937),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,3P7_03M9j4qfTpY82oA7qG,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00210,fund_strook_(#11761),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,2F6KORhx58_911OMinsiC1,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00210,fund_strook_(#12054),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,1Asg_4IIzBJRAZjWOOBoop,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1200x250,ST00210,fund_strook_(#10984),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,2wgL5LHzz2E8w8G68rTVPh,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00210,fund_strook_(#11927),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,1uEzbhHRDA98l7q7eTPW6W,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00210,fund_strook_(#3776),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,3QPQ0M3XLDPQT3whn6YFzl,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00210,fund_strook_(#12181),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,397U34bofE49REjBsbvQCB,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00210,fund_strook_(#10711),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,1KASldv$r8FgJ_cnX$UWsD,Beam,1610_funderingsconstructies - voeten en balken,IFC_betonpoer_1600x300,ST00210,fund_poer_(#8265),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,3eW1ejUUD8Z83etxIha2Q6,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_2600x550,ST00210,fund_strook_(#5041),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,3qqefgPMbCKOfgM2m0OEf4,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00210,fund_strook_(#12640),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,3J_1it95T5gfMFEztXNCUR,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1000x250,ST00210,fund_strook_(#11111),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,0wc9xUAq1D8gPTinpIsyhl,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_900x250,ST00210,fund_strook_(#6129),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,36OAgfylj3i8B$_ULHcQpS,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_600x250,ST00210,fund_strook_(#11380),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,29BOVlph15px1swoAw3ZkS,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00210,fund_strook_(#12894),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,1zQYOrUqP5TAaFPeCmMGH$,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_600x250,ST00210,fund_strook_(#11249),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,3SLFVhErbETg7vkVqhJmtW,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1000x250,ST00210,fund_strook_(#11507),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,2mDRqz_0n11QrR8$KLRplg,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_2600x550,ST00210,fund_strook_(#639),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,1olNo2H6j18AMsF6vNwyOJ,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00210,fund_strook_(#7939),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,2J6c62A5XD2QcGjShzZgXq,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1400x250,ST00210,fund_strook_(#10569),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,1ei90H7Bb5_fZwEyprK4wB,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1400x250,ST00210,fund_strook_(#11634),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,3e$rrJY7D1Rhx1v_XSSOhd,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00210,fund_strook_(#10265),Wapening,19-3-2015,24-3-2015
